"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 19:27:20 GMT 2023","Wed Jun 21 19:27:22 GMT 2023","1285","","GameDetailsTest","","GameDetailsTest","testGetGenerationById","Get Generation by ID",""
"failed","Wed Jun 21 19:27:23 GMT 2023","Wed Jun 21 19:27:25 GMT 2023","1364","","GameDetailsTest","","GameDetailsTest","testGetGenerationByName","Get Generation by Name",""
"passed","Wed Jun 21 19:27:22 GMT 2023","Wed Jun 21 19:27:23 GMT 2023","1461","","GameDetailsTest","","GameDetailsTest","testGetGenerationWithInvalidId","Get Generation with Invalid ID",""
"passed","Wed Jun 21 19:27:16 GMT 2023","Wed Jun 21 19:27:20 GMT 2023","4092","","GameDetailsTest","","GameDetailsTest","testGetGenerationWithInvalidName","Get Generation with Invalid Name",""
